timestamp,exchange_long,exchange_short,symbol,gross_spread_pct,price_long,price_short,funding_long,funding_short,funding_diff_pct,effective_spread_pct
2026-06-06T20:11:54.444313+00:00Z,gate,mexc,OLUSDT,1.0461,0.00564,0.005699,5e-05,5e-05,0.0,1.0461
2026-06-06T20:11:56.451190+00:00Z,gate,mexc,OLUSDT,1.0461,0.00564,0.005699,5e-05,5e-05,0.0,1.0461
2026-06-06T20:11:59.185746+00:00Z,gate,mexc,OLUSDT,1.6489,0.00564,0.005733,5e-05,5e-05,0.0,1.6489
2026-06-06T20:12:01.199495+00:00Z,gate,mexc,OLUSDT,1.0461,0.00564,0.005699,5e-05,5e-05,0.0,1.0461
2026-06-06T20:12:03.201826+00:00Z,gate,mexc,OLUSDT,1.0461,0.00564,0.005699,5e-05,5e-05,0.0,1.0461
2026-06-06T20:12:09.237136+00:00Z,gate,mexc,OLUSDT,1.6135,0.00564,0.005731,5e-05,5e-05,0.0,1.6135
2026-06-06T20:12:13.240586+00:00Z,gate,mexc,OLUSDT,1.773,0.00564,0.00574,5e-05,5e-05,0.0,1.773
2026-06-06T20:12:15.244326+00:00Z,gate,mexc,OLUSDT,1.6135,0.00564,0.005731,5e-05,5e-05,0.0,1.6135
2026-06-06T20:12:19.247555+00:00Z,gate,mexc,OLUSDT,1.6489,0.00564,0.005733,5e-05,5e-05,0.0,1.6489
2026-06-06T20:12:21.477992+00:00Z,gate,mexc,OLUSDT,1.6489,0.00564,0.005733,5e-05,5e-05,0.0,1.6489
2026-06-06T20:12:29.494143+00:00Z,gate,mexc,OLUSDT,1.6135,0.00564,0.005731,5e-05,5e-05,0.0,1.6135
2026-06-06T20:12:40.670811+00:00Z,gate,mexc,OLUSDT,1.6135,0.00564,0.005731,5e-05,5e-05,0.0,1.6135
2026-06-06T20:12:44.680952+00:00Z,gate,mexc,OLUSDT,1.6489,0.00564,0.005733,5e-05,5e-05,0.0,1.6489
2026-06-06T20:12:46.681848+00:00Z,gate,mexc,OLUSDT,1.6489,0.00564,0.005733,5e-05,5e-05,0.0,1.6489
2026-06-06T20:12:50.787661+00:00Z,gate,mexc,OLUSDT,1.0993,0.00564,0.005702,5e-05,5e-05,0.0,1.0993
2026-06-06T20:12:52.789448+00:00Z,gate,mexc,OLUSDT,1.0993,0.00564,0.005702,5e-05,5e-05,0.0,1.0993
2026-06-06T20:12:54.792469+00:00Z,gate,mexc,OLUSDT,1.0993,0.00564,0.005702,5e-05,5e-05,0.0,1.0993
2026-06-06T20:12:56.799607+00:00Z,gate,mexc,OLUSDT,1.0993,0.00564,0.005702,5e-05,5e-05,0.0,1.0993
2026-06-06T20:12:58.801446+00:00Z,gate,mexc,OLUSDT,1.8972,0.00564,0.005747,5e-05,5e-05,0.0,1.8972
2026-06-06T20:13:00.939449+00:00Z,gate,mexc,OLUSDT,1.8972,0.00564,0.005747,5e-05,5e-05,0.0,1.8972
2026-06-06T20:13:02.942697+00:00Z,gate,mexc,OLUSDT,1.8972,0.00564,0.005747,5e-05,5e-05,0.0,1.8972
2026-06-06T20:13:05.002637+00:00Z,gate,mexc,OLUSDT,1.8972,0.00564,0.005747,5e-05,5e-05,0.0,1.8972
2026-06-06T20:13:07.007437+00:00Z,gate,mexc,OLUSDT,1.8085,0.00564,0.005742,5e-05,5e-05,0.0,1.8085
2026-06-06T20:13:09.009080+00:00Z,gate,mexc,OLUSDT,1.9149,0.00564,0.005748,5e-05,5e-05,0.0,1.9149
2026-06-06T20:13:11.011675+00:00Z,gate,mexc,OLUSDT,1.8085,0.00564,0.005742,5e-05,5e-05,0.0,1.8085
2026-06-06T20:13:13.012934+00:00Z,gate,mexc,OLUSDT,1.9149,0.00564,0.005748,5e-05,5e-05,0.0,1.9149
2026-06-06T20:13:15.015166+00:00Z,gate,mexc,OLUSDT,2.0213,0.00564,0.005754,5e-05,5e-05,0.0,2.0213
